id,@id,FIXME,access,accommodation,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:postal_district,addr:postcode,addr:street,addr:substreet,addr:suburb,air_conditioning,alt_name,amenity,atm,branch,brand,brand:facebook,brand:instagram,brand:twitter,brand:website,brand:wikidata,brand:wikipedia,brand:youtube,brewery,building,building:colour,building:facade:material,building:levels,building:material,building:part,changing_table,check_date,check_date:diet:vegetarian,check_date:opening_hours,closed:amenity,cocktails,contact:email,contact:facebook,contact:instagram,contact:phone,contact:tiktok,contact:tripadvisor,contact:twitter,contact:website,contact:yelp,contact:youtube,craft,craft_beer,cuisine,description,description:it,diet:gluten_free,diet:vegan,diet:vegetarian,disused,disused:amenity,dog,drink:beer,drive_through,email,events_venue,fax,fireplace,fixme,food,former:name,games,heritage,indoor_seating,internet_access,internet_access:fee,internet_access:ssid,landuse,layer,level,lgbtq,live_music,mapillary,microbrewery,min_age,music_genre,name,name:en,name:ga,name:ko,name:zh,nohousenumber,not:brand:wikidata,note,old_name,old_name:2015,old_name:2017,old_name:2018,old_name_1,old_name_2,opening_hours,opening_hours:signed,operator,outdoor_seating,panoramax,payment:card,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,pets_allowed,phone,phone:mobile,product,real_ale,real_fire,ref:vatin,reservation,roof:colour,roof:material,roof:shape,shop,short_name,smoking,source,source:website,sport,start,start_date,takeaway,toilets,toilets:access,toilets:wheelchair,tourism,type,website,website:booking,website:menu,website:orders,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,year_built,@geometry,geometry,city_source,source_crs
relation/3375611,relation/3375611,,,,Dublin,IE,Dublin,,,20-22,,D02 C868,College Green,,,,,bar,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,The Bank on College Green,,,,,,,"Dublin City Council, Record of Protected Structures (2010), no. 1993",Royal Bank of Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,multipolygon,https://www.bankoncollegegreen.com/,,https://www.bankoncollegegreen.com/wp-content/uploads/dinner.pdf,,yes,,,,,,center,POINT (-6.26148 53.344074),Dublin,EPSG:4326
relation/13336522,relation/13336522,,,,Dublin,,,,,,,,Blackhorse Avenue,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumiskey's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,multipolygon,,,,,limited,,,,,,center,POINT (-6.318999 53.365195),Dublin,EPSG:4326
relation/14462907,relation/14462907,,,,Dublin,,Dublin,,,4;5,,D02 F866,Baggot Street Lower,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,https://www.facebook.com/dohenyandnesbitt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doheny and Nesbitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,https://dohenyandnesbitts.ie/,http://dohenyandnesbitts.ie/bookings/,http://dohenyandnesbitts.ie/menu/,,yes,,,,,,center,POINT (-6.252886 53.338082),Dublin,EPSG:4326
relation/14704472,relation/14704472,,,,Dublin,IE,Dublin,,,8-9;9,,D02 NR76,Duke Street,,,,Gilligan’s,pub,,,,,,,,,,,,retail,,,,,,,2026-04-24,,,,,,https://www.facebook.com/TheDukeDublin,,,,,@thedukedublin,,,,,,,,,,,,,,,,,thedukedublin@gmail.com,,,,,,,,,,,,,,,,,,,,,,The Duke,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,+35316799553,,,,,,,,,,,,,,,,,,,,,,,multipolygon,https://www.thedukedublin.com/,,,,yes,,,,,,center,POINT (-6.25872 53.341986),Dublin,EPSG:4326
relation/20011885,relation/20011885,,,,Dublin,,Dublin,,,25,,D12 X965,Ravensdale Park,,,,,pub,,,,,,,,,,,Four_Provinces,retail,,,,,,,,,,,,,the4prov,the4provinces,,,,,,,,,,,,,,,,,,yes,,,the4prov@gmail.com,,,yes,,,,,,,,,,,,,,yes,,,,irish,The Four Provinces,,,,,,,,,,,,,,,,,,,,,,,,,yes,+35315524179,,,,fireplace,,,,,,,,,,,darts,,,,,,,,multipolygon,,,,,,,,,,,center,POINT (-6.300117 53.314648),Dublin,EPSG:4326
way/40617788,way/40617788,,,,,,,,,,,,,,,,,pub,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.252347 53.377508),Dublin,EPSG:4326
way/42353315,way/42353315,,,,Dublin,,Dublin,,,Unit 3-4,,D11 AY91,Ballyboggan Road,,Glasnevin,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,PorterhouseBrewing,@porterhousebrewco,,,,@phbrew,,,https://www.youtube.com/channel/UCaKnYMtnexDWVcISSbG4BlQ,brewery,,,,,,,,,,,,,info@porterhousebrewco.ie,,,,,,,,,,,,,,,,,,,yes,,,Portherouse Brewing Company,,,,,,,,,,,,,,,,,,,,,,,,,,+35318227415,,craft_beer,,,,,,,,,,,,,,,1989,,,,,,,https://porterhousebrewco.ie,,,,,,,,,,center,POINT (-6.302281 53.374928),Dublin,EPSG:4326
way/42422825,way/42422825,,,,Belcamp,,Dublin,,,,,D17 F796,Malahide Road,,,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newtown House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (-6.188876 53.396513),Dublin,EPSG:4326
way/47936694,way/47936694,,,,Dublin,IE,Dublin,,,107-109,,D03 KN97,Howth Road,,Clontarf,,,pub,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@harrybyrnes.ie,,,,,,,,,,,,,,,,,,,,,,Harry Byrne’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://harrybyrnes.ie,,,,,,,,,,center,POINT (-6.216396 53.366993),Dublin,EPSG:4326
way/51767141,way/51767141,,,,Dublin,,,,,6,,,Finglas Road,,,,,,,Off Licence,O'Briens,,,,,Q113151266,,,,yes,,,,,,,2024-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,O'Briens,,,,,,,,,,,,,,,,O'Brien's,,,,,,,,,,,,,,,,,,,,alcohol,,,,,,,,,,,,,,http://www.sweeneyswines.ie/,,,,,,,,,,center,POINT (-6.271947 53.366822),Dublin,EPSG:4326
