city,osm_id,geometry,name,street,house_number,postcode,address_city,amenity,bar,beer,beer_garden,brewery,drink_beer,microbrewery,website,phone,email,facebook,instagram,description,opening_hours,wheelchair,toilets_wheelchair,smoking,min_age,payment_methods_count
Dublin,relation/3375611,POINT (-6.26148 53.344074),The Bank on College Green,College Green,20-22,D02 C868,Dublin,bar,,,,,,,https://www.bankoncollegegreen.com/,,,,,,,yes,,outside,,0
Dublin,relation/13336522,POINT (-6.318999 53.365195),Cumiskey's,Blackhorse Avenue,,,Dublin,pub,,,,,,,,,,,,,,limited,yes,,,0
Dublin,relation/14462907,POINT (-6.252886 53.338082),Doheny and Nesbitt,Baggot Street Lower,4;5,D02 F866,Dublin,pub,,,,,,,https://dohenyandnesbitts.ie/,,,https://www.facebook.com/dohenyandnesbitt/,,,,yes,,,,0
Dublin,relation/14704472,POINT (-6.25872 53.341986),The Duke,Duke Street,8-9;9,D02 NR76,Dublin,pub,,,,,,,https://www.thedukedublin.com/,+35316799553,thedukedublin@gmail.com,https://www.facebook.com/TheDukeDublin,,,,yes,,,,3
Dublin,relation/20011885,POINT (-6.300117 53.314648),The Four Provinces,Ravensdale Park,25,D12 X965,Dublin,pub,,,,Four_Provinces,,,,+35315524179,the4prov@gmail.com,the4prov,the4provinces,,,,,,,0
Dublin,way/40617788,POINT (-6.252347 53.377508),,,,,,pub,,,,,,,,,,,,,,,,,,0
Dublin,way/42353315,POINT (-6.302281 53.374928),Portherouse Brewing Company,Ballyboggan Road,Unit 3-4,D11 AY91,Dublin,,,,,,,yes,https://porterhousebrewco.ie,+35318227415,info@porterhousebrewco.ie,PorterhouseBrewing,@porterhousebrewco,,,,,,,0
Dublin,way/42422825,POINT (-6.188876 53.396513),Newtown House,Malahide Road,,D17 F796,Belcamp,pub,,,,,,,,,,,,,,,,,,0
Dublin,way/47936694,POINT (-6.216396 53.366993),Harry Byrne’s,Howth Road,107-109,D03 KN97,Dublin,pub,,,,,,,https://harrybyrnes.ie,,info@harrybyrnes.ie,,,,,,,,,0
Dublin,way/51767141,POINT (-6.271947 53.366822),O'Briens,Finglas Road,6,,Dublin,,,,,,,,http://www.sweeneyswines.ie/,,,,,,,,,,,0
Dublin,way/52304330,POINT (-6.271351 53.364689),The Bernard Shaw,Cross Guns Bridge,,D09 XW44,Dublin,pub,,,,,,,https://thebernardshaw.com/,+353 1 906 0218,info@thebernardshaw.com,,,,,,,outside,,0
Dublin,way/62152061,POINT (-6.262466 53.334458),Dtwo,,,,,biergarten,,,,,,,,,,,,,,,,,,0
Dublin,way/80567253,POINT (-6.266917 53.348591),The Church,Mary Street,,D01 YX64,Dublin,pub,,,,,,,https://www.thechurch.ie/,+353 1 8280102,reservations@thechurch.ie,,,,"Mo-Th 10:30-23:00, Fr,Sa 10:30-02:30, Su 11:30-23:00",limited,,,,0
Dublin,way/80580032,POINT (-6.242357 53.334608),The 51,Haddington Road,51,D04 FD83,Dublin,pub,,,,,,no,,,,,,,,,,,,0
Dublin,way/84017579,POINT (-6.236737 53.336325),Ryan’s Beggar’s Bush,Haddington Road,112-115,D04 H328,Dublin,pub,,,,,,,https://beggarsbush.com/,,,,,,,yes,,,,0
Dublin,way/84018113,POINT (-6.243097 53.333501),The Waterloo,Baggot Street Upper,36,D04 R6Y6,Dublin,pub,,,,,,,,,,,,,,yes,,,,0
Dublin,way/84018119,POINT (-6.242819 53.333404),Searsons,Baggot Street Upper,42-44,D04 V210,Dublin,pub,,,,,,,https://searsonsbar.ie/,,,https://www.facebook.com/Searsons/,,,,yes,,,,0
Dublin,way/96196917,POINT (-6.23216 53.337473),The Bath,Bath Avenue,26,D04 X7P8,Dublin,pub,,,,,,,https://thebathpub.ie/,+353892415804,info@thebathpub.ie,https://www.facebook.com/The-Bath-Pub-248019211955434,@bathpubdub,,,limited,no,,,0
Dublin,way/96255051,POINT (-6.234235 53.337322),Slattery’s,Grand Canal Street Upper,62,D04 T295,Dublin,pub,,,,,,,https://slatterys.bar/,,,,,,,limited,,,,0
Dublin,way/96255067,POINT (-6.23404 53.337041),The Cow,Shelbourne Road,2,,,pub,,,,,,,https://thechophouse.ie/,+353 1 660 2390,,,,,,limited,,,,0
Dublin,way/97172993,POINT (-6.263973 53.335846),Dicey's Garden,Harcourt Street,,,,biergarten,,,,,,,,,,,,,,,,,,0
Dublin,way/102694943,POINT (-6.240702 53.346008),The Ferryman,Sir John Rogerson's Quay,35-36,D02E448,Dublin,pub,,,,,,,https://www.theferrymantownhouse.ie,+353 1 671 7053,reservation@ferrymanhotel.com,,,,,yes,yes,no,,0
Dublin,way/105915571,POINT (-6.274806 53.312022),The Wine Corner,Terenure Road East,,,Dublin,,,,,,,,,,,,,,,,,,,0
Dublin,way/105915585,POINT (-6.274988 53.312056),The Bottler’s Bank,Terenure Road East,6,D06 W3K0,Dublin,pub,,,,,,,,,,,the_bottlersbank,,,,,no,,0
Dublin,way/106056173,POINT (-6.254892 53.308065),The Dropping Well,Milltown Road,,D06 YK38,Milltown,pub,,,,,,,https://droppingwell.com/,,info@droppingwell.com,,,,,,,,,3
Dublin,way/109370672,POINT (-6.243468 53.334814),Smyth’s,Haddington Road,10,D04 FC63,Dublin,pub,,,,,,,,,,,,,,,,,,0
Dublin,way/111184730,POINT (-6.242093 53.339698),Becky Morgan's,Grand Canal Street Lower,9,,,pub,,,,,,,,,,,,,,yes,yes,,,0
Dublin,way/115086421,POINT (-6.2375 53.338003),The Gasworks,Grand Canal Street Upper,,D04 X5X7,Dublin,pub,,,,galway_bay,,,https://www.galwaybaybrewery.com/gasworks/,+353 1 230 9634,gasworks@galwaybaybrewery.com,https://www.facebook.com/Thegasworksbar,,,,no,,outside,,0
Dublin,way/115772293,POINT (-6.23881 53.314139),Farmer Brown’s,Clonskeagh Road,68,D06 EH93,Dublin,pub,,,,various,,,https://www.farmerbrowns.ie,,,,,,,,,outside,,0
Dublin,way/128942373,POINT (-6.271931 53.369668),"John Kavanagh’s ""The Gravediggers""",Prospect Square,1-2,D09 CF72,Dublin,pub,,,,Guinness,,no,https://johnkavanagh-the-gravediggers.business.site/,,,https://www.facebook.com/JohnKavanaghTheGravediggers,gravediggers2,,,,,outside,,2
Dublin,way/129750566,POINT (-6.296434 53.324472),Flood’s,Sundrive Road,140-142,D12 HE65,Dublin,pub,,,,,,,,+353 1 4542463,,,,,,,,,,0
Dublin,way/129774681,POINT (-6.307559 53.341686),The Patriot’s Inn,South Circular Road,760,D08 HV0A,Dublin,pub,,,,,,,https://patriotsinn.ie,+35316799595,denisewhitecatering@gmail.com,https://www.facebook.com/PatriotsInnDublin,thepatriotsinn,,,no,,,,0
Dublin,way/129924270,POINT (-6.214139 53.384437),Artane House,,,,,pub,,,,,,,,,,,,,,,,,,0
Dublin,node/130156802,POINT (-6.252762 53.350192),Le Monde Café Bar,Store Street,21,D01 T9R2,Dublin,pub,,,,,,,https://www.beresfordhotelifsc.com/en/bar/,+353 1 8134700,,,,,,no,,,,0
Dublin,way/130774599,POINT (-6.272175 53.365213),The Brian Boru,Prospect Road,,D09 PP93,Dublin,pub,,,,,,,https://www.thebrianboru.com/,+353 1 830 4527,info@thebrianboru.ie,,,,,,,,,0
Dublin,node/133193958,POINT (-6.260588 53.330551),The Barge,Charlemont Street,42,D02 R593,Dublin,pub,,,,,,,https://www.thebarge.ie/,,,https://www.facebook.com/thebargeinn,,,,limited,,,,0
Dublin,way/154508544,POINT (-6.265819 53.33634),Ryan’s,Camden Street Lower,92,D02KT51,Dublin,pub,,,,,,,,,,,,,,no,,no,,0
Dublin,way/154508547,POINT (-6.265875 53.336558),Whelan’s,Wexford Street,25,D02 H527,Dublin,pub,,,,,,,https://www.whelanslive.com,+35314780766,info@whelanslive.com,https://www.facebook.com/whelanslive,,,,,,outside,,0
Dublin,way/154518581,POINT (-6.265528 53.335553),Devitt’s,Camden Street Lower,78,D02 C642,Dublin,pub,,,,,,,https://www.devittspub.ie/,,,,,,,limited,no,,,0
Dublin,way/227764081,POINT (-6.259644 53.346642),Fitzgerald's,Aston Quay,22,D02 FH28,Dublin,pub,,,,,,,,,,,,,,yes,,,,0
Dublin,way/227766040,POINT (-6.260286 53.34744),O’Connell’s,Bachelors Walk,30,D01 YP70,Dublin,pub,,,,,,,http://www.oconnellsbardublin.ie/,+353 1 874 5730,,,,,,yes,,,,0
Dublin,way/228284413,POINT (-6.254782 53.347327),The Workshop,George's Quay,10,D02 YY95,Dublin,pub,,,,,,,,,,,,,,limited,,outside,,0
Dublin,way/228284414,POINT (-6.255529 53.34696),Mulligan's,Poolbeg Street,8-9,D02 TK71,Dublin,pub,,,,various;guinness,,,,+353 1 6775582,,,,,,,,,,0
Dublin,way/228286745,POINT (-6.257187 53.346212),Chaplin’s,Hawkins Street,2,D02 K590,Dublin,pub,,,,,,,,,,,,,"Fr-Su 16:00-02:00, Mo-Th 17:00-02:00",,,,,0
Dublin,way/228287775,POINT (-6.258737 53.34636),Cassidy's,Westmoreland Street,27,D02 PX77,Dublin,pub,,,,guinness;erdinger;various,,,http://www.cassidysbar.ie/web/home.html,,,https://www.facebook.com/cassidyswestmorland/,,,,,,,,0
Dublin,way/228290004,POINT (-6.257887 53.345807),Bowe’s,Fleet Street,31,D02 DF77,Dublin,pub,,,,,,,https://www.facebook.com/Boweswhiskeybar/,+353 1 671 4038,,,,,,,,,,0
Dublin,way/228762044,POINT (-6.267794 53.346611),Panti Bar,Capel Street,7-8,,Dublin,bar,,,,,,,https://www.pantibar.com/,+353 1 874 0710,,,,,Mo-Th 16:00-23:30; Fr-Sa 16:00-00:30; Su 16:00-23:00,yes,,outside,,0
Dublin,way/228762046,POINT (-6.268193 53.346383),Jack Nealon,Capel Street,165-166,D01 XD72,Dublin,pub,,,,,,,,,,,,,,no,,,,0
Dublin,way/228968680,POINT (-6.263518 53.343824),The Stag's Head,Dame Court,1,D02 TW84,Dublin,pub,,,,Guinness;smithwick;heineken;Budweiser,,,https://stagshead.ie/,,,,https://www.instagram.com/stags_head_dublin/,,Mo-Sa 11:00-24:00; Su,no,,,,0
Dublin,way/228968686,POINT (-6.262857 53.343763),4 Dame Lane,Dame Lane,4,D02 YD79,Dublin,pub,,,,,,,https://4damelane.ie,,,,,,,limited,,,,0
Dublin,way/229061161,POINT (-6.268754 53.347763),J. McNeill,Capel Street,140,D01 F9R2,Dublin,pub,,,,,,,,,,,,,,no,yes,,,0
Dublin,way/229061164,POINT (-6.268934 53.348274),Slattery’s,Capel Street,129-131,D01 YN83,Dublin,pub,,,,,,,,,,,,,Mo-Th 07:00-23:30; Fr-Sa 07:00-01:00; Su 12:30-23:30,limited,no,,,0
Dublin,way/229061165,POINT (-6.268599 53.347374),The Boar’s Head,Capel Street,149,D01 T927,Dublin,pub,,,,,,,,,,,,,,limited,no,,,0
Dublin,way/229316784,POINT (-6.262705 53.34224),J. Grogan's,William Street South,15,D02 H336,Dublin,pub,,,,various,,,https://www.groganspub.ie,,,https://www.facebook.com/groganscastlelounge/,,,,yes,no,outside,,0
Dublin,way/229376152,POINT (-6.281709 53.343091),Arthur’s,Thomas Street,28,D08 VF83,Dublin,pub,,,,,,,,,,,,,,,,,,0
Dublin,way/229456566,POINT (-6.278943 53.342648),Dudley’s,Thomas Street,47-48,D08 C44P,Dublin,pub,,,,,,,,+35315472307,info@dudleys.ie,,@dudleyspub,,,yes,,,,0
Dublin,way/230101445,POINT (-6.267927 53.344939),Lundy Foot’s,Essex Gate,13,D08 PN7C,Dublin,pub,,,,yes,,,https://www.lundyfoots.ie,+353 1 671 1535,,LundyFoots,LundyFootsDublin,,,yes,,no,,0
Dublin,way/230133865,POINT (-6.267386 53.345138),The Porterhouse,Parliament Street,16-18,D02 VR94,Dublin,bar,,,,porterhouse,,,https://porterhousebrewco.ie/temple-bar/,+35316798847,phtemplebar@theporterhouse.ie,https://www.facebook.com/PorterhouseTempleBar,https://www.instagram.com/porterhousebrewco/,,Mo-We 11:30-24:00; Th 11:30-01:00; Fr-Sa 11:30-02:00; Su 12:00-24:00,yes,,,,2
Dublin,way/230134472,POINT (-6.267058 53.344281),Thomas Reads,Parliament Street,1-3,D02 AN28,Dublin,pub,,,,galway_bay;brú,,,,+35316718267,,,@thomasreadsdublin,,,limited,no,,,4
Dublin,way/230357177,POINT (-6.263217 53.340906),Peter's Pub,Johnson's Place,1,D02 HW58,Dublin,pub,,,,,,,http://peterspub.ie/,,,https://www.facebook.com/PetersPub/,,,,,,,,0
