city,osm_id,geometry,name,street,house_number,postcode,address_city,amenity,bar,beer,beer_garden,brewery,drink_beer,microbrewery,website,phone,email,facebook,instagram,description,opening_hours,wheelchair,toilets_wheelchair,smoking,min_age,payment_methods_count
Munich,relation/1583195,POINT (11.637837 48.110212),Georg-Brauchle-Haus,,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,,,,,0
Munich,relation/1657606,POINT (11.618572 48.152951),Bayerisches Staatsministerium für Umwelt und Verbraucherschutz,Rosenkavalierplatz,2,81925,München,,,,,,,,https://www.stmuv.bayern.de/,+49 89 9214 00,,,,,,,,,,0
Munich,relation/3502656,POINT (11.529047 48.177135),Georg-Brauchle-Ring,,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,,,,,0
Munich,relation/3605813,POINT (11.517031 48.189282),Bus 175: Georg-Brauchle-Ring (U) => Ludwigsfeld (Campingplatz),,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,yes,,,,0
Munich,relation/3605814,POINT (11.517031 48.189219),Bus 175: Ludwigsfeld (Campingplatz) => Georg-Brauchle-Ring (U),,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,yes,,,,0
Munich,way/3707399,POINT (11.542336 48.176321),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4009841,POINT (11.522128 48.17572),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4020286,POINT (11.52881 48.176706),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4066192,POINT (11.639876 48.172274),Isabella-Braun-Weg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4300523,POINT (11.558448 48.176139),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4300524,POINT (11.558503 48.176062),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4591433,POINT (11.536322 48.176336),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/4609516,POINT (11.511007 48.149455),Königlicher Hirschgarten,,,,,biergarten,,,,Augustiner Bräu München,,,https://hirschgarten.de/,,,,,Europas größter Biergarten und auch der größte der Welt (Stand 2024),Mo-Su 11:00-24:00,yes,yes,,,0
Munich,way/4609522,POINT (11.551597 48.143534),Augustiner-Keller,Arnulfstraße,52,80335,München,biergarten,,,,Augustiner Bräu München,,,https://www.augustinerkeller.de/de,+49 89 594393,büro@augustiner-keller.de,,,,Mo-Su 11:30-24:00,limited,yes,outside,,0
Munich,way/4857941,POINT (11.499513 48.117797),Barbierstraße,,,,,,,,,,,,,,,,,,,,,,,0
Munich,relation/5207448,POINT (11.529274 48.176798),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/5215288,POINT (11.545332 48.163878),Lily-Braun-Weg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,relation/5518556,POINT (11.437146 48.175988),Paulaner Brauerei,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/5832888,POINT (11.502199 48.185019),Braunschweiger Straße,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/10073620,POINT (11.530941 48.176393),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,relation/15508366,POINT (11.78068 48.021392),"Ruftaxi 4900: Berganger, Braunautal => Neuperlach Süd (S/U)",,,,,,,,,,,,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,,,,,,,,,,,0
Munich,relation/15508403,POINT (11.78068 48.021392),"Ruftaxi 4900: Neuperlach Süd (S/U) => Berganger, Braunautal",,,,,,,,,,,,https://www.mvv-muenchen.de/mobilitaetsangebote/bedarfsverkehr/index.html,,,,,,,,,,,0
Munich,relation/17383261,POINT (11.447942 48.163288),Bus 159: Pasing Bahnhof (S/R) => Paulaner Brauerei,,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,,,,,0
Munich,relation/17383262,POINT (11.448076 48.162666),Bus 159: Paulaner Brauerei => Pasing Bahnhof (S/R),,,,,,,,,,,,https://www.mvv-muenchen.de/,,,,,,,,,,,0
Munich,way/18778395,POINT (11.449848 48.139914),Bierbaumstraße,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/19371758,POINT (11.550013 48.087852),Braunstraße,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/22560334,POINT (11.450688 48.19024),Hans-Bieringer-Weg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/23411279,POINT (11.59205 48.125676),"Städtische Berufsschule für das Hotel, Gaststätten- und Braugewerbe",Simon-Knoll-Platz,3,81669,München,school,,,,,,,https://bsgastro.musin.de/,,,,,,,,,,,0
Munich,way/23462952,POINT (11.557435 48.108533),Zum Flaucher - Biergarten,,,,,biergarten,,,,,,,https://www.zumflaucher.de/,,,,,,"""Betrieb im Sommer und bei schönen Wetter""",yes,,,,0
Munich,way/24938989,POINT (11.660999 48.106418),Braunmillerweg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/25383824,POINT (11.496242 48.160236),Bierführerweg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/26756215,POINT (11.52273 48.175784),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/28078687,POINT (11.595067 48.149289),TIVO,Oettingenstraße,74,80538,München,bar,,,,,,,https://www.tivomunich.com/,,,,,,,,,,,0
Munich,node/28238954,POINT (11.529059 48.177499),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,yes,,,,0
Munich,way/30189672,POINT (11.627078 48.157978),Schlösselgarten,,,,,biergarten,,,,,,,https://schlösselgarten.com/,+49 89 915452,,,,,We-Sa 11:00-23:00; Su-Tu 11:00-22:00,limited,,,,0
Munich,way/30720834,POINT (11.534129 48.176441),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/30909675,POINT (11.532214 48.176304),Georg-Brauchle-Ring,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/31661004,POINT (11.555544 48.221797),Heinrich-Braun-Weg,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/32925444,POINT (11.540374 48.123124),Tannengarten,,,,,biergarten,,,,,,,,,,,,,"Tu-Fr 16:00+; Sa,Su,PH 14:00+",,,,,0
Munich,way/33646026,POINT (11.611743 48.209396),Braunaugenstraße,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/35955615,POINT (11.62035 48.185637),Aumeister,Sondermeierstraße,1,80939,München,biergarten,,,,Hofbräu München,,,https://www.aumeister.de/,+49 89 189 314 20,aumeister@aumeister.de,https://www.facebook.com/people/Restaurant-Biergarten-Aumeister-im-Englischen-Garten/100063974950532/,,,May-Sep: Mo-Fr 10:00-23:00; Sa-Su 09:30-23:00,yes,,yes,,5
Munich,way/36965867,POINT (11.534791 48.104464),Augustiner Schützengarten,Zielstattstraße,6,81379,München,biergarten,,,,Augustiner,,,https://augustiner-schuetzengarten.de,+49 89 724 680 88,info@augustiner-schützengarten.de,,,,Mo-Su 11:00-23:00,limited,,outside,,3
Munich,way/38281427,POINT (11.511568 48.149586),Weißbierschänke,,,,,,,,,,,,,,,,,,,,,,,0
Munich,way/39541244,POINT (11.592569 48.152506),Biergarten am Chinesischen Turm,Englischer Garten,3,80538,München,biergarten,,,,Hofbräu München,,,https://www.chinaturm.de/,+49 89 3838 7320,info@chinaturm.de,,,,Mo-Th 11:00-18:00; Fr 11:00-19:00; Sa 10:00-19:00; Su 10:00-18:00,yes,yes,,,0
Munich,way/39690896,POINT (11.545467 48.082105),Gutshof Menterschwaige,Menterschwaigstraße,4,81545,München,biergarten,,,,,,,https://augustinermenterschwaige.de,+49 89 2488 1180,,,,,"Mo-Th 15:00-22:00; Fr-Su,PH 11:30-22:00",limited,,,,0
Munich,way/44389898,POINT (11.533427 48.111499),Celtis,Konrad-Celtis-Straße,2,81369,München,pub,,,,,,,,,,,,,,no,,,,0
Munich,way/55874199,POINT (11.4122 48.131116),Augustiner Brauerei,Dietmar-Keese-Bogen,20,81249,München,,,,,,,,,,,,,,,,,,,0
Munich,way/64993843,POINT (11.553491 48.112603),Wirtshaus zum Isartal,Brudermühlstraße,2,81371,München,biergarten,,,,Augustiner,,,,+4989772121,,,,,Mo-Su 12:00-21:30,limited,,,,0
Munich,way/72249868,POINT (11.607722 48.167006),Mini Hofbräuhaus,,,,,biergarten,,,,Hofbräu München,,,,+49 89 3610 0880,,https://www.facebook.com/minihb/,,,,,,,,3
Munich,way/72272781,POINT (11.598131 48.160277),Seehaus,Kleinhesselohe,3,80802,München,biergarten,,,,Paulaner,,,,,,,,,,limited,yes,,,0
Munich,way/72272787,POINT (11.602709 48.161814),Biergarten Hirschau,Gyßlingstraße,15,80805,München,restaurant,,,,Löwenbräu,,,https://www.hirschau-muenchen.de/,+49 89 36090490,,,,,10:00-23:00,yes,yes,,,0
Munich,way/72273510,POINT (11.602465 48.162095),Hirschau,Gyßlingstraße,11,80805,München,biergarten,,,,Löwenbräu,,,https://www.hirschau-muenchen.de/,+49 89 3221 080,,https://www.facebook.com/BiergartenHirschau/,,,Mo-Fr 11:30-24:00; Sa-Su 10:00-24:00,yes,,,,0
Munich,way/76376041,POINT (11.467052 48.149928),Der Klapotetz,Nusselstraße,55,81245,München,,,,,,,,,,,,,Steirische Weine und Spezialitäten,,,,,,0
Munich,way/80539355,POINT (11.573104 48.155101),Ungewitter Bar,,,,,bar,,,,,,,https://www.ungewitter-bar.de/,+49 89 2715196,,,,,"Tu 20:00-03:00, We,Th 20:00-04:00, Fr,Sa,PH 20:00-05:30",,,,,0
Munich,node/82772298,POINT (11.545647 48.139206),Augustiner Bräustuben,Landsberger Straße,19,80339,München,restaurant,,,,Augustiner Bräu München,,yes,https://www.braeustuben.de/,+49 89 507047,AUGUSTINERBRAUSTUBEN@T-ONLINE.DE,,,,Mo-Su 10:00-24:00,limited,no,,,3
