city,osm_id,geometry,name,street,house_number,postcode,address_city,amenity,bar,beer,beer_garden,brewery,drink_beer,microbrewery,website,phone,email,facebook,instagram,description,opening_hours,wheelchair,toilets_wheelchair,smoking,min_age,payment_methods_count
Prague,relation/2327411,POINT (14.410456 50.028601),přírodní památka U Branického pivovaru,,,,,,,,,,,,,,,,,,,,,,,0
Prague,relation/4469371,POINT (14.425668 50.095994),Zahradní pivnice Letenské sady,Letenské sady,341,170 00,Praha,biergarten,,,,,,,http://www.letenskyzamecek.cz/,+420 233 378 200,,,,,,,,,,0
Prague,way/4638038,POINT (14.408157 50.068031),Pivovarská,,,,,,,,,,,,,,,,,,,,,,,0
Prague,way/4641261,POINT (14.448336 50.105935),U Měšťanského pivovaru,,,,,,,,,,,,,,,,,,,,,,,0
Prague,way/4819716,POINT (14.47552 50.10989),U Libeňského pivovaru,,,,,,,,,,,,,,,,,,,,,,,0
Prague,way/4990902,POINT (14.501723 50.059529),Pivoňková,,,,,,,,,,,,,,,,,,,,,,,0
Prague,relation/6826330,POINT (14.407886 50.068432),Pivovar Staropramen,,,,,,,,,staropramen,,,,,,,,,,,,,,0
Prague,way/8095510,POINT (14.50095 50.05915),Pivoňková,,,,,,,,,,,,,,,,,,,,,,,0
Prague,way/8103341,POINT (14.507406 50.108418),U Vysočanského pivovaru,,,,,,,,,,,,,,,,,,,,,,,0
Prague,relation/12397643,POINT (14.420027 50.123034),pivoňková louka,,,,,,,,,,,,,,,,,,,,,,,0
Prague,way/13882119,POINT (14.504202 50.108146),U Vysočanského pivovaru,,,,,,,,,,,,,,,,,,,,,,,0
Prague,relation/14981653,POINT (14.377402 50.130461),Pivnice JIH,,,,,,,,,,,,,,,,,Učebny JIH 008-568,,,,,,0
Prague,relation/16308252,POINT (14.499206 50.0199),,,,,,biergarten,,,,,,,,,,,,,,,,,,0
Prague,relation/17261848,POINT (14.532762 50.040222),,,,,,biergarten,,,,,,,,,,,,,,,,,,0
Prague,way/22121153,POINT (14.475338 50.10934),Pivovarnická,,,,,,,,,,,,,,,,,,,,,,,0
